0x0 	Nothing 	なし
0x27d 	Spice Bow 	スパイスリボン
0x27e 	Megani-Claw 	メガニウムのツメ
0x27f 	Megani-Card 	メガニウムカード
0x280 	Shiny Charm 	ひかりのおまもり
0x281 	Bright Veil 	ブライトベール
0x282 	Cynda-Hair 	ヒノアラシのけ
0x283 	Cynda-Claw 	ヒノアラシのツメ
0x284 	Blazing Rock 	もえさかるいし
0x285 	Storm Sash 	ストームバンダナ
0x286 	Quila-Hair 	マグマラシのけ
0x287 	Quila-Card 	マグマラシカード
0x288 	Quila-Crest 	マグマラシのごふ
0x289 	Volcano Torc 	ボルケーノリング
0x28a 	Typhlo-Gasp 	バクフーンのいき
0x28b 	Typhlo-Fang 	バクフーンのキバ
0x28c 	Typhlo-Seal 	バクフーンのいん
0x28d 	Blast Bangle 	ブラストバングル
0x28e 	Totodi-Dew 	ワニノコのしずく
0x28f 	Totodi-Fang 	ワニノコのキバ
0x290 	Water Heart 	みずのハート
0x291 	Wash Bow 	ウォッシュリボン
0x292 	Croco-Fang 	アリゲイツのキバ
0x293 	Croco-Card 	アリゲイツカード
0x294 	Swirl Rock 	だくりゅうのいし
0x295 	Anger Scarf 	いかりのスカーフ
0x296 	Feral-Claw 	オーダイルのツメ
0x297 	Feral-Fang 	オーダイルのキバ
0x298 	Feral-Crest 	オーダイルのごふ
0x299 	Hydro Jaw 	ハイドロファング
0x29a 	Treeck-Thorn 	キモリのトゲ
0x29b 	Treeck-Card 	キモリのカード
0x29c 	Forest Ore 	もりのほうせき
0x29d 	Guard Ring 	まもりのゆびわ
0x29e 	Grovy-Shoot 	ジュプトルのえだ
0x29f 	Grovy-Card 	ジュプトルカード
0x2a0 	Jungle-Tag 	みつりんのおふだ
0x2a1 	Grass Blade 	グラスブレード
0x2a2 	Scept-Claw 	ジュカインのツメ
0x2a3 	Scept-Card 	ジュカインカード
0x2a4 	Scept-Seal 	ジュカインのいん
0x2a5 	Drain Bangle 	ドレインバングル
0x2a6 	Torchic Hair 	アチャモのけ
0x2a7 	Torchic Card 	アチャモのカード
0x2a8 	Hot Pebble 	ホットストーン
0x2a9 	Fire Cape 	ほのおのケープ
0x2aa 	Combus-Sweat 	ワカシャモのあせ
0x2ab 	Combus-Claw 	ワカシャモのツメ
0x2ac 	Charge Tag 	もうしんのおふだ
0x2ad 	Gutsy Band 	ねっけつハチマキ
0x2ae 	Blazi-Claw 	バシャーモのツメ
0x2af 	Blazi-Card 	バシャーモカード
0x2b0 	Blazi-Seal 	バシャーモのいん
0x2b1 	Blaze Torc 	ブレイズリング
0x2b2 	Mudkip Mud 	ミズゴロウのどろ
0x2b3 	Mudkip Card 	ミズゴロウカード
0x2b4 	Mud Jewel 	ぬまのほうじゅ
0x2b5 	Speed Scarf 	スピードスカーフ
0x2b6 	Marsh-Mud 	ヌマクローのどろ
0x2b7 	Marsh-Card 	ヌマクローカード
0x2b8 	Marsh-Crest 	ヌマクローのごふ
0x2b9 	Marsh Torc 	スワンプリング
0x2ba 	Swamp-Mud 	ラグラージのどろ
0x2bb 	Swamp-Card 	ラグラージカード
0x2bc 	Swamp-Seal 	ラグラージのいん
0x2bd 	Swamp Bangle 	マッドバングル
0x2be 	Skitty Fang 	エネコのキバ
0x2bf 	Skitty Card 	エネコのカード
0x2c0 	Smile Pebble 	スマイルストーン
0x2c1 	Heal Pendant 	いやしのくびわ
0x2c2 	Delcat-Hair 	エネコロロのけ
0x2c3 	Delcat-Fang 	エネコロロのキバ
0x2c4 	Prim Pebble 	プリムストーン
0x2c5 	Guard Collar 	まもりのえりまき
0x2c6 	Lucky Leaf 	こううんなはっぱ
0x2c7 	Turtwig Card 	ナエトルのカード
0x2c8 	Sprout Rock 	めばえのいし
0x2c9 	Leafy Hat 	わかばのぼうし
0x2ca 	Grotle Twig 	ハヤシガメのえだ
0x2cb 	Grotle Claw 	ハヤシガメのツメ
0x2cc 	Grotle Crest 	ハヤシガメのごふ
0x2cd 	Woody Scarf 	ウッディスカーフ
0x2ce 	Tort-Claw 	ドダイトスのツメ
0x2cf 	Tort-Horn 	ドダイトスのツノ
0x2d0 	Tort-Seal 	ドダイトスのいん
0x2d1 	Forest Torc 	フォレストリング
0x2d2 	Chim-Hair 	ヒコザルのけ
0x2d3 	Chim-Fang 	ヒコザルのキバ
0x2d4 	Nimble Charm 	みがるなおまもり
0x2d5 	Ember Cap 	ひのこのぼうし
0x2d6 	Monfer-Hair 	モウカザルのけ
0x2d7 	Monfer-Fang 	モウカザルのキバ
0x2d8 	Monfer-Crest 	モウカザルのごふ
0x2d9 	Burst Sash 	もうかのバンダナ
0x2da 	Infern-Hair 	ゴウカザルのけ
0x2db 	Infern-Fang 	ゴウカザルのキバ
0x2dc 	Infern-Seal 	ゴウカザルのいん
0x2dd 	Blazing Ruff 	ごうかのマフラー
0x2de 	Piplup Foam 	ポッチャマのあわ
0x2df 	Piplup Card 	ポッチャマカード
0x2e0 	Sea Ore 	うみのほうせき
0x2e1 	Water Cape 	みずのケープ
0x2e2 	Prin-Foam 	ポッタイシのあわ
0x2e3 	Prin-Card 	ポッタイシカード
0x2e4 	Prin-Crest 	ポッタイシのごふ
0x2e5 	Aqua Blade 	アクアブレード
0x2e6 	Empol-Claw 	エンペルトのツメ
0x2e7 	Empol-Horn 	エンペルトのツノ
0x2e8 	Empol-Seal 	エンペルトのいん
0x2e9 	Marine Crown 	うみのクラウン
0x2ea 	Munch-Drool 	ゴンベのよだれ
0x2eb 	Munch-Claw 	ゴンベのツメ
0x2ec 	Tummy Charm 	おなかのおまもり
0x2ed 	Glutton Cape 	おおぐいのケープ
0x2ee 	Snorlax Gasp 	カビゴンのいき
0x2ef 	Snorlax Fang 	カビゴンのキバ
0x2f0 	Valor Charm 	すてみのおまもり
0x2f1 	Glee Scarf 	しふくのスカーフ
0x2f2 	Scyther Fang 	ストライクのキバ
0x2f3 	Scyther Card 	ストライクカード
0x2f4 	Ambush Rock 	かげよみのいし
0x2f5 	Strike Ruff 	はやてのマフラー
0x2f6 	Scizor Wing 	ハッサムのはね
0x2f7 	Scizor Card 	ハッサムのカード
0x2f8 	Steel Charm 	はがねのおまもり
0x2f9 	Red Armlet 	くれないのうでわ
0x2fa 	Lapras Song 	ラプラスのうた
0x2fb 	Lapras Card 	ラプラスのカード
0x2fc 	Wavy Charm 	なみのおまもり
0x2fd 	Mystic Scarf 	しんぴのスカーフ
0x2fe 	Eevee Tail 	イーブイのお
0x2ff 	Eevee Card 	イーブイのカード
0x300 	Evolve Charm 	しんかのおまもり
0x301 	Eevee 	イーブイ
0x302 	Cleffa Dew 	ピィのなみだ
0x303 	Cleffa Card 	ピィのカード
0x304 	Starry Ore 	ほしのほうせき
0x305 	Comet Ring 	ほしふるゆびわ
0x306 	Clef-Claw 	ピッピのツメ
0x307 	Clef-Fang 	ピッピのキバ
0x308 	Moon Jewel 	つきのほうじゅ
0x309 	Moon Scarf 	ムーンスカーフ
0x30a 	Clefa-Claw 	ピクシーのツメ
0x30b 	Clefa-Card 	ピクシーのカード
0x30c 	Moon Rock 	まんげつのいし
0x30d 	Fairy Bow 	ようせいのリボン
0x30e 	Iggly-Dew 	ププリンのなみだ
0x30f 	Iggly-Card 	ププリンのカード
0x310 	Bouncy Charm 	はずむおまもり
0x311 	Pretty Bow 	プリティリボン
0x312 	Jiggly-Song 	プリンのうた
0x313 	Jiggly-Card 	プリンのカード
0x314 	Slumber Rock 	うたたねのいし
0x315 	Snooze Ring 	ねむりのゆびわ
0x316 	Wiggly-Hair 	プクリンのけ
0x317 	Wiggly-Card 	プクリンのカード
0x318 	Buddy Rock 	ゆうじょうのいし
0x319 	Friend Torc 	フレンドリング
0x31a 	Togepi Dew 	トゲピーのなみだ
0x31b 	Togepi Card 	トゲピーのカード
0x31c 	Pure Heart 	むじゃきなハート
0x31d 	Angel Scarf 	てんしのスカーフ
0x31e 	Togetic Wing 	トゲチックのはね
0x31f 	Togetic Card 	トゲチックカード
0x320 	Happy Rock 	しあわせのいし
0x321 	Luck Brooch 	ラックのブローチ
0x322 	Togek-Wing 	トゲキッスのはね
0x323 	Togek-Card 	トゲキッスカード
0x324 	Ovation Rock 	しゅくふくのいし
0x325 	Glitter Robe 	かがやきのローブ
0x326 	Sneasel Claw 	ニューラのツメ
0x327 	Sneasel Card 	ニューラのカード
0x328 	Dusk Jewel 	やみのほうじゅ
0x329 	Cruel Ring 	ひじょうなゆびわ
0x32a 	Weavile Claw 	マニューラのツメ
0x32b 	Weavile Fang 	マニューラのキバ
0x32c 	Vile Tag 	あくまのおふだ
0x32d 	Ruin Armlet 	はめつのうでわ
0x32e 	Teddi-Claw 	ヒメグマのツメ
0x32f 	Teddi-Card 	ヒメグマのカード
0x330 	Honey Rock 	みつあつめのいし
0x331 	Heal Scarf 	ヒールスカーフ
0x332 	Ursa-Claw 	リングマのツメ
0x333 	Ursa-Fang 	リングマのキバ
0x334 	Calming Rock 	やすらぎのいし
0x335 	Hiber Scarf 	とうみんスカーフ
0x336 	Tyro-Sweat 	バルキーのあせ
0x337 	Tyro-Card 	バルキーのカード
0x338 	Muscle Charm 	ちからのおまもり
0x339 	Tyrogue 	バルキー
0x33a 	Smooch-Song 	ムチュールのうた
0x33b 	Smooch-Card 	ムチュールカード
0x33c 	Kiss Charm 	キッスのおまもり
0x33d 	Heart Tiara 	ハートのティアラ
0x33e 	Jynx Song 	ルージュラのうた
0x33f 	Jynx Card 	ルージュラカード
0x340 	Frozen Ore 	こおりのほうせき
0x341 	Ruin Scarf 	ほろびのスカーフ
0x342 	Elekid Claw 	エレキッドのツメ
0x343 	Elekid Card 	エレキッドカード
0x344 	Jolt Charm 	しびれるおまもり
0x345 	Current Ring 	いなずまのゆびわ
0x346 	Electa-Claw 	エレブーのツメ
0x347 	Electa-Fang 	エレブーのキバ
0x348 	Charge Seal 	じゅうでんのふだ
0x349 	Volt Bangle 	エレキバングル
0x34a 	Electi-Claw 	エレキブルのツメ
0x34b 	Electi-Card 	エレキブルカード
0x34c 	Voltaic Rock 	じゅうでんのいし
0x34d 	Voltaic Band 	らいでんハチマキ
0x34e 	Magby Claw 	ブビィのツメ
0x34f 	Magby Card 	ブビィのカード
0x350 	Ember Jewel 	ひだねのほうじゅ
0x351 	Coal Ring 	ほのおのゆびわ
0x352 	Magmar Claw 	ブーバーのツメ
0x353 	Magmar Card 	ブーバーのカード
0x354 	Erupt Ore 	ひふきのほうせき
0x355 	Magma Scarf 	マグマのスカーフ
0x356 	Magmor-Claw 	ブーバーンのツメ
0x357 	Magmor-Card 	ブーバーンカード
0x358 	Vulcan Rock 	ばくえんのいし
0x359 	Burning Torc 	バーニングリング
0x35a 	Azuri-Dew 	ルリリのなみだ
0x35b 	Azuri-Card 	ルリリのカード
0x35c 	Fount Charm 	いずみのおまもり
0x35d 	Water Float 	みずのフロート
0x35e 	Marill Dew 	マリルのしずく
0x35f 	Marill Card 	マリルのカード
0x360 	Surfer Rock 	なみのりのいし
0x361 	Brine Scarf 	うしおのスカーフ
0x362 	Azuma-Dew 	マリルリのしずく
0x363 	Azuma-Card 	マリルリのカード
0x364 	Stream Charm 	おがわのおまもり
0x365 	Dotted Scarf 	みずたまスカーフ
0x366 	Plusle Tail 	プラスルのシッポ
0x367 	Plusle Card 	プラスルのカード
0x368 	Cheer Rock 	おうえんのいし
0x369 	Pulse Bow 	パルスリボン
0x36a 	Minun Tail 	マイナンのシッポ
0x36b 	Minun Card 	マイナンのカード
0x36c 	Volt Heart 	でんきのハート
0x36d 	Spark Tie 	スパークミサンガ
0x36e 	Cast-Dew 	ポワルンのしずく
0x36f 	Cast-Card 	ポワルンのカード
0x370 	Cloud Rock 	あまぐものいし
0x371 	Weather Cape 	おてんきスカーフ
0x372 	Wynaut Tail 	ソーナノのシッポ
0x373 	Wynaut Card 	ソーナノのカード
0x374 	Grin Charm 	えがおのおまもり
0x375 	Cheery Scarf 	ほがらかスカーフ
0x376 	Wobbu-Sweat 	ソーナンスのあせ
0x377 	Wobbu-Card 	ソーナンスカード
0x378 	Endure Rock 	がまんのいし
0x379 	Suffer Scarf 	しれんのスカーフ
0x37a 	Bidoof Tooth 	ビッパのまえば
0x37b 	Bidoof Card 	ビッパのカード
0x37c 	Fall Charm 	たきのおまもり
0x37d 	Stolid Scarf 	どんかんスカーフ
0x37e 	Biba-Tooth 	ビーダルのまえば
0x37f 	Biba-Card 	ビーダルのカード
0x380 	River Charm 	たいがのおまもり
0x381 	Dam Scarf 	せきとめスカーフ
0x382 	Shinx Claw 	コリンクのツメ
0x383 	Shinx Fang 	コリンクのキバ
0x384 	Flash Tag 	せんこうのおふだ
0x385 	Energy Scarf 	エナジースカーフ
0x386 	Luxio Claw 	ルクシオのツメ
0x387 	Luxio Fang 	ルクシオのキバ
0x388 	Spark Tag 	でんこうのおふだ
0x389 	Spark Scarf 	かんでんスカーフ
0x38a 	Luxray Claw 	レントラーのツメ
0x38b 	Luxray Fang 	レントラーのキバ
0x38c 	Glare Tag 	がんこうのおふだ
0x38d 	Glare Sash 	ライトバンダナ
0x38e 	Pachi-Tooth 	パチリスのまえば
0x38f 	Pachi-Card 	パチリスのカード
0x390 	Rouse Charm 	めざめのおまもり
0x391 	Miracle Bow 	ミラクルリボン
0x392 	Buizel Fang 	ブイゼルのキバ
0x393 	Buizel Card 	ブイゼルのカード
0x394 	Swimmer Rock 	はやおよぎのいし
0x395 	Screw Torc 	スクリューリング
0x396 	Float-Fang 	フローゼルのキバ
0x397 	Float-Card 	フローゼルカード
0x398 	Rescue Rock 	きゅうえんのいし
0x399 	Float Aid 	おたすけフロート
0x39a 	Drifloo-Gasp 	フワンテのいき
0x39b 	Drifloo-Card 	フワンテのカード
0x39c 	Wind Heart 	かぜのハート
0x39d 	Draft Ring 	そよかぜのゆびわ
0x39e 	Drifbli-Gasp 	フワライドのいき
0x39f 	Drifbli-Card 	フワライドカード
0x3a0 	Easy Charm 	きままなおまもり
0x3a1 	Breeze Scarf 	ブリーズスカーフ
0x3a2 	Cherubi Seed 	チェリンボのタネ
0x3a3 	Cherubi Card 	チェリンボカード
0x3a4 	Cute Ore 	かわいいほうせき
0x3a5 	Charm Bow 	チャームリボン
0x3a6 	Cherrim Dew 	チェリムのしずく
0x3a7 	Cherrim Card 	チェリムのカード
0x3a8 	Sweet Aroma 	あまいパフューム
0x3a9 	Petal Dress 	はなびらのドレス
0x3aa 	Bonsly Dew 	ウソハチのなみだ
0x3ab 	Bonsly Card 	ウソハチのカード
0x3ac 	Arid Tag 	かんそうのおふだ
0x3ad 	Teary Cape 	なみだのケープ
0x3ae 	Sudo-Sweat 	ウソッキーのあせ
0x3af 	Sudo-Card 	ウソッキーカード
0x3b0 	Drain Rock 	みずはけのいし
0x3b1 	Fake Torc 	フェイクリング
0x3b2 	Junior Beam 	マネネのひかり
0x3b3 	Junior Card 	マネネのカード
0x3b4 	Mimic Pebble 	ミミックストーン
0x3b5 	Copy Mask 	ものまねずきん
0x3b6 	Mime Key 	バリヤードのキー
0x3b7 	Mime Card 	バリヤードカード
0x3b8 	Bulwark Rock 	かべつくりのいし
0x3b9 	Barrier Bow 	バリヤーリボン
0x3ba 	Happiny Dew 	ピンプクのなみだ
0x3bb 	Happiny Card 	ピンプクのカード
0x3bc 	Play Tag 	ままごとのおふだ
0x3bd 	Nurture Cape 	はぐくみのケープ
0x3be 	Chansey Song 	ラッキーのうた
0x3bf 	Chansey Card 	ラッキーのカード
0x3c0 	Lucky Charm 	ついてるおまもり
0x3c1 	Lucky Scarf 	ラッキースカーフ
0x3c2 	Blissey Song 	ハピナスのうた
0x3c3 	Blissey Card 	ハピナスのカード
0x3c4 	Amity Rock 	ほほえみのいし
0x3c5 	Faith Ring 	いのりのゆびわ
0x3c6 	Gible Fang 	フカマルのキバ
0x3c7 	Gible Card 	フカマルのカード
0x3c8 	Dragon Jewel 	りゅうのほうじゅ
0x3c9 	Dragon Tie 	ドラゴンミサンガ
0x3ca 	Gabite Claw 	ガバイトのツメ
0x3cb 	Gabite Fang 	ガバイトのキバ
0x3cc 	Star Rock 	りゅうせいのいし
0x3cd 	Meteor Torc 	メテオリング
0x3ce 	Gar-Claw 	ガブリアスのツメ
0x3cf 	Gar-Fang 	ガブリアスのキバ
0x3d0 	Speed Tag 	こうそくのおふだ
0x3d1 	Mach Scarf 	マッハスカーフ
0x3d2 	Riolu Tail 	リオルのお
0x3d3 	Riolu Card 	リオルのカード
0x3d4 	Valiant Rock 	ゆうきのいし
0x3d5 	Emit Ring 	はもんのゆびわ
0x3d6 	Lucario Fang 	ルカリオのキバ
0x3d7 	Lucario Card 	ルカリオのカード
0x3d8 	Pledge Rock 	ちかいのいし
0x3d9 	Ravage Ring 	はじゃのゆびわ
0x3da 	Mantyke Beam 	タマンタのひかり
0x3db 	Mantyke Card 	タマンタのカード
0x3dc 	Waft Rock 	しおかぜのいし
0x3dd 	Ocean Bow 	オーシャンリボン
0x3de 	Mantine Foam 	マンタインのあわ
0x3df 	Mantine Card 	マンタインカード
0x3e0 	Sunset Rock 	ゆうやけのいし
0x3e1 	Horizon Bow 	ホライズンリボン
0x3e2 	Phione Song 	フィオネのうた
0x3e3 	Phione Card 	フィオネのカード
0x3e4 	Wave Jewel 	なみのほうじゅ
0x3e5 	Ripple Cape 	さざなみのケープ
0x3e6 	Vulpix Tail 	ロコンのお
0x3e7 	Vulpix Card 	ロコンのカード
0x3e8 	Vulpix Tag 	ロコンのおふだ
0x3e9 	Glowing Bow 	ともしびリボン
0x3ea 	Nine-Hair 	キュウコンのけ
0x3eb 	Nine-Card 	キュウコンカード
0x3ec 	Nine-Seal 	キュウコンのいん
0x3ed 	Afire Collar 	おにびのえりまき
0x3ee 	Phanpy Claw 	ゴマゾウのツメ
0x3ef 	Phanpy Card 	ゴマゾウのカード
0x3f0 	Phanpy Tag 	ゴマゾウのおふだ
0x3f1 	Value Ruff 	おとくなマフラー
0x3f2 	Donphan Fang 	ドンファンのキバ
0x3f3 	Donphan Card 	ドンファンカード
0x3f4 	Don-Crest 	ドンファンのごふ
0x3f5 	Armor Scarf 	よろいのスカーフ
0x3f6 	Cater-Belt 	キャタピーベルト
0x3f7 	Defense Bow 	ぼうぎょリボン
0x3f8 	Glittery Bow 	グリッターリボン
0x3f9 	Weedle Bow 	ビードルリボン
0x3fa 	Kakuna Scarf 	コクーンスカーフ
0x3fb 	Charge Scarf 	とっかんスカーフ
0x3fc 	Pidgey Bow 	ポッポリボン
0x3fd 	Pidgeo-Scarf 	ピジョンスカーフ
0x3fe 	Pidgeot Torc 	ピジョットリング
0x3ff 	Ratta-Scarf 	コラッタスカーフ
0x400 	Overcome Bow 	つよすぎリボン
0x401 	Quirky Bow 	きまぐれリボン
0x402 	Wing Scarf 	はばたきスカーフ
0x403 	Leash Bow 	はなさずリボン
0x404 	Shock Ruff 	ビックリマフラー
0x405 	Sand-Scarf 	サンドのスカーフ
0x406 	Sandy Torc 	すなまもリング
0x407 	Pointy Scarf 	とがったスカーフ
0x408 	Return Scarf 	しかえしスカーフ
0x409 	Impact Torc 	インパクトリング
0x40a 	Halve Scarf 	はんげんスカーフ
0x40b 	Thorny Scarf 	とげつきスカーフ
0x40c 	King Sash 	キングのバンダナ
0x40d 	Dodge Bow 	みかわしリボン
0x40e 	Absorb Scarf 	すいとりスカーフ
0x40f 	Odd Bow 	ナゾナゾリボン
0x410 	Guard Hat 	まもりのぼうし
0x411 	Aroma Scarf 	アロマスカーフ
0x412 	Moving Scarf 	まひなしスカーフ
0x413 	Firm Hat 	しゃっきりハット
0x414 	Gaze Goggles 	みすかしゴーグル
0x415 	Venomoth Bow 	モルフォンリボン
0x416 	Diglett Hat 	ディグダハット
0x417 	Dugtrio Bow 	ダグトリオリボン
0x418 	Psyduck Hat 	コダックハット
0x419 	Paddle Scarf 	みずかきスカーフ
0x41a 	Mankey Torc 	マンキーリング
0x41b 	Nullify Belt 	きかないベルト
0x41c 	Growl-Scarf 	ガーディスカーフ
0x41d 	Legend Bow 	レジェンドリボン
0x41e 	Damp Bow 	しめったリボン
0x41f 	Poli-Bow 	ニョロゾのリボン
0x420 	Bold Belt 	こんじょうベルト
0x421 	Predict Torc 	よげんのリング
0x422 	Psychic Torc 	サイキックリング
0x423 	Sparkle Ruff 	きらめくマフラー
0x424 	Impish Band 	わんぱくハチマキ
0x425 	Strong Belt 	ストロングベルト
0x426 	Machamp Belt 	カイリキーベルト
0x427 	Bell-Bow 	マダツボミリボン
0x428 	Digest Scarf 	しょうかスカーフ
0x429 	Victree-Torc 	ウツボットリング
0x42a 	Tangle Bow 	からみすぎリボン
0x42b 	Tenta-Cape 	ドククラゲマント
0x42c 	Geodude Torc 	イシツブテリング
0x42d 	Rocky Torc 	いわまもリング
0x42e 	Rugged Sash 	ごつごつバンダナ
0x42f 	Heated Bow 	ホットリボン
0x430 	Sunlight Bow 	サンライトリボン
0x431 	Slowpoke Hat 	ヤドンのぼうし
0x432 	Slow-Scarf 	ヤドランスカーフ
0x433 	Magne-Torc 	コイルリング
0x434 	Magneton Bow 	レアコイルリボン
0x435 	Bullseye Bow 	めいちゅうリボン
0x436 	Buddy Torc 	なかよしリング
0x437 	Fight Torc 	とうこんリング
0x438 	Gentle Bow 	やさしいリボン
0x439 	North Torc 	ノーザンリング
0x43a 	Grimy Scarf 	ベトベトスカーフ
0x43b 	Slimy Bow 	ねばつきリボン
0x43c 	Shell-Torc 	シェルダーリング
0x43d 	Cover Armor 	かいがらアーマー
0x43e 	Gastly Veil 	ゴースベール
0x43f 	Slip Scarf 	すりぬけスカーフ
0x440 	Sunglasses 	くろいサングラス
0x441 	Trust Brooch 	たよれるブローチ
0x442 	Drowzee Tie 	スリープミサンガ
0x443 	Dream Coin 	ゆめのコイン
0x444 	Krabby Bow 	クラブのリボン
0x445 	Super Sash 	すごいバンダナ
0x446 	Ball Scarf 	ボールスカーフ
0x447 	Electro-Bow 	マルマインリボン
0x448 	Repel Scarf 	はねつけスカーフ
0x449 	Exeggu-Sash 	ナッシーバンダナ
0x44a 	Cubone Scarf 	カラカラスカーフ
0x44b 	Marowak Torc 	ガラガラリング
0x44c 	Licky Scarf 	ベロベロスカーフ
0x44d 	Koffing Bow 	ドガースリボン
0x44e 	Weez-Scarf 	マタドガスカーフ
0x44f 	Solid Shield 	がんじょうなたて
0x450 	Pierce Drill 	とつげきドリル
0x451 	Sticky Bow 	はりつけリボン
0x452 	Kang-Apron 	ガルーラエプロン
0x453 	Horsea Bow 	タッツーリボン
0x454 	Swirl Scarf 	うずしおスカーフ
0x455 	Goldeen Bow 	トサキントリボン
0x456 	Seaking Bow 	アズマオウリボン
0x457 	Recover Torc 	さいせいリング
0x458 	Starmie Belt 	スターミーベルト
0x459 	Pinsir Sash 	カイロスバンダナ
0x45a 	Rushing Bow 	もうしんリボン
0x45b 	Magikarp Bow 	コイキングリボン
0x45c 	Tempest Sash 	あらしのバンダナ
0x45d 	Ditto Torc 	メタモンリング
0x45e 	AI Brooch 	でんのうブローチ
0x45f 	Spike Brooch 	スパイクブローチ
0x460 	Aged Scarf 	げんしのスカーフ
0x461 	Kabuto Hat 	カブトのぼうし
0x462 	Kabu-Torc 	カブトプスリング
0x463 	Old Brooch 	たいこのブローチ
0x464 	Dragon Sash 	りゅうのサッシュ
0x465 	Aloft Mantle 	てんのはごろも
0x466 	Mirage Cape 	まぼろしのマント
0x467 	Sentret Ruff 	オタチのマフラー
0x468 	Body Collar 	ぜんしんえりまき
0x469 	Expose Specs 	みやぶりメガネ
0x46a 	Noctowl Torc 	ヨルノズクリング
0x46b 	Morning Bow 	モーニングリボン
0x46c 	Ledian Bow 	レディアンリボン
0x46d 	Spina-Scarf 	イトマルスカーフ
0x46e 	Ariados Bow 	アリアドスリボン
0x46f 	Slash Bow 	スラッシュリボン
0x470 	Shine Torc 	フラッシュリング
0x471 	Lanturn Bow 	ランターンリボン
0x472 	Lively Scarf 	にぎやかスカーフ
0x473 	Xatu Bow 	ネイティオリボン
0x474 	Wool Bow 	わたげのリボン
0x475 	Fluffy Scarf 	モコモコスカーフ
0x476 	Sacred Scarf 	せいなるスカーフ
0x477 	Bright Tiara 	ひかりのティアラ
0x478 	Rain Crown 	あめのかんむり
0x479 	Zephyr Bow 	はるかぜのリボン
0x47a 	Skip-Scarf 	ポポッコスカーフ
0x47b 	Cotton Torc 	わたくさのリング
0x47c 	Revenge Ruff 	おかえしマフラー
0x47d 	Hasty Bow 	せっかちリボン
0x47e 	Sun Scarf 	おひさまスカーフ
0x47f 	Chitin Bow 	うすばねリボン
0x480 	Wooper Bow 	ウパーのリボン
0x481 	Quag-Torc 	ヌオーのリング
0x482 	Murkrow Hat 	ヤミカラスハット
0x483 	King Cap 	おうじゃのぼうし
0x484 	Misdrea-Cape 	ムウマのケープ
0x485 	Cryptic Sash 	あんごうバンダナ
0x486 	Reverse Bow 	リバースリボン
0x487 	Robust Bow 	じょうぶなリボン
0x488 	Dense Poncho 	かたいポンチョ
0x489 	Escape Scarf 	にげあしスカーフ
0x48a 	Takeoff Ruff 	とびにげマフラー
0x48b 	Quartz Torc 	クォーツリング
0x48c 	Snub-Cape 	ブルーのケープ
0x48d 	Stern Sash 	いかついバンダナ
0x48e 	Qwilfish Bow 	ハリーセンリボン
0x48f 	Shuckle Bow 	ツボツボリボン
0x490 	Horn Torc 	ツノリング
0x491 	Lava Bow 	ようがんリボン
0x492 	Torrid Scarf 	もえすぎスカーフ
0x493 	Frigid Bow 	とうけつリボン
0x494 	Frost Torc 	いてつくリング
0x495 	Eager Brooch 	はりきりブローチ
0x496 	Reach Bow 	えんとうリボン
0x497 	Psy Bow 	サイケなリボン
0x498 	Snow Brooch 	ふぶきのブローチ
0x499 	Skar-Cape 	エアームドマント
0x49a 	Dark Choker 	あくのチョーカー
0x49b 	Pit Fang 	じごくのキバ
0x49c 	Tornado Bow 	トルネードリボン
0x49d 	Virtual Bow 	バーチャルリボン
0x49e 	Delusion Bow 	さっかくリボン
0x49f 	Paint Scarf 	パレットスカーフ
0x4a0 	Milky Scarf 	ミルキースカーフ
0x4a1 	Larvitar Bow 	ヨーギラスリボン
0x4a2 	Pupita-Scarf 	サナギラスカーフ
0x4a3 	Crash Claw 	ほうかいのツメ
0x4a4 	Pooch-Collar 	ポチエナのくびわ
0x4a5 	Dark Fang 	ダークファング
0x4a6 	Merry Scarf 	うれしいスカーフ
0x4a7 	Linoone Ruff 	マッスグマフラー
0x4a8 	Wurmple Bow 	ケムッソリボン
0x4a9 	Tough Scarf 	かちかちスカーフ
0x4aa 	Vivid Silk 	あざやかシフォン
0x4ab 	Guard Bow 	ガードリボン
0x4ac 	Dustox Bow 	ドクケイルリボン
0x4ad 	Kelp Hat 	うきくさのぼうし
0x4ae 	Jolly Scarf 	ようきなスカーフ
0x4af 	Ludicolo Hat 	ルンパッパハット
0x4b0 	Seedot Hat 	タネボーハット
0x4b1 	Nuzleaf Bow 	コノハナリボン
0x4b2 	Shiftry Belt 	ダーテングベルト
0x4b3 	Taillow Bow 	スバメのリボン
0x4b4 	Midair Scarf 	おおぞらスカーフ
0x4b5 	Wingull Bow 	キャモメのリボン
0x4b6 	Stock Scarf 	たくわえスカーフ
0x4b7 	Sensing Hat 	センスハット
0x4b8 	Magical Bow 	マジカルリボン
0x4b9 	Caring Scarf 	じあいのスカーフ
0x4ba 	Bliss Scarf 	めぐまれスカーフ
0x4bb 	Blocking Bow 	いわばらいリボン
0x4bc 	Mobile Bow 	まひしらずリボン
0x4bd 	Thwart Bow 	むこうのリボン
0x4be 	Slak-Scarf 	ナマケロスカーフ
0x4bf 	Vigor Sash 	やるきのバンダナ
0x4c0 	Lazy Ruff 	ものぐさマフラー
0x4c1 	Novice Scarf 	したづみスカーフ
